X1;X2;X3;X4;X5;X6
401500;0;0;14519.11;217822.9;0
396000;71500;71500;7811.57;118121.4;0
159500;0;0;20252.76;185395.81;0
715000;44000;25000;22036.33;313768.68;0
825000;99000;49500;7740.83;135579.71;0
693000;0;0;10885.58;213731.68;0
1210000;110000;55000;32608.38;481241.06;0
693000;0;0;33510.99;481155.9;0
717934;0;0;9635.63;208592.13;0
693000;0;0;13466.94;214360.9;0
528000;99000;52500;13145.55;113721.03;0
330000;0;0;45.56;591.76;0
880000;132000;66000;30083.45;453746.37;0
0;0;0;0;0;0
781000;44000;0;15911.57;310656.26;0
598034;132000;0;3374.52;27752.23;0
706932;0;0;24000.54;361065.56;0
682000;44000;0;57737.93;398209.84;0
693000;0;0;2557.85;39718.69;0
236500;0;0;4363.84;103627.37;0
418366;4207;0;3310.81;82548.65;1
137500;0;0;12630.01;112173.57;0
148500;10998;10998;31841;278410.85;0
550000;66000;69000;22215.9;216866.36;17
250800;52800;55800;2467.56;41499.3;0
415800;44000;47000;14458.1;253318.28;0
236500;55000;55000;7495.41;99488.67;0
192500;66000;77000;50253.44;157775.25;0
170500;55000;0;20221.7;125636.5;0
550000;66000;66000;9074.7;146944.14;0
418000;33000;36000;23339.21;330837.23;0
366298;55000;55000;4163.32;82545.26;0
374000;49500;52500;17375.63;406694.51;0
313500;66000;66000;11473.58;107638.73;0
275000;49500;0;9083.73;194997.88;0
335500;27500;0;5915.91;102898.21;0
363000;49500;79807;7171.92;59713.31;0
264000;49500;46307;11737.3;144162.2;0
520300;97504;132970;11745.44;191229.79;16
340267;33000;0;5324.79;111692.26;0
951500;66000;66000;85967.18;601336.85;0
220000;10998;10998;19498.16;307603.23;0
154000;84370;0;4846.43;84367.18;0
544500;55000;55000;68363.13;320582.73;0
280500;49500;64500;28074.37;483973.45;0
423500;27500;27500;114775.82;1494728.41;0
264000;49500;52500;16046.68;308947.54;0
423500;0;0;11496.6;243919.47;0
346500;0;0;5619.34;56630.67;0
346500;0;0;11480.17;219795;0
357500;0;0;6319.68;113965.68;0
385000;39600;0;12859.73;100588.26;0
418001;31351;0;6523.71;99541.43;0
220000;0;0;15072.72;198706.2;0
148500;13750;13750;6185.77;83559.03;0
137500;13750;13750;9627.24;100124.13;0
181500;55000;76500;4673.57;52074.43;0
258500;45833;55000;12468.26;124467.98;0
539000;35860;61990;38397.79;569937.96;0
451000;55000;78000;9723.79;82958.94;0
401500;27500;30500;12985.79;342900.9;0
423500;27500;27500;9590;239966.86;0
368500;27500;45500;13500.3;247144.61;0
55000;55316;45060;4.62;15.26;8
467500;27500;30500;6712.1;96005.17;0
258500;44000;57750;6907.76;112777.42;0
264000;44000;0;12077.7;191181.68;0
297000;1174803;69000;11541.6;41179.25;42
308000;33000;0;8100.29;132986.95;0
462000;33000;33000;29335.58;645275.69;0
308000;33000;48500;19091.51;498490.4;0
346500;0;0;21607.26;386508.93;0
252818;11917;0;3084.77;52817.44;0
137500;13750;13750;6742.29;115774.21;0
423500;55000;58000;20401.59;181556.54;0
484000;66000;0;30777.65;232742.08;0
412500;27500;30500;16357.95;329867.38;0
374000;44000;47000;11523.64;192084.91;0
407000;27500;30500;6505.88;160213.13;0
423500;27500;0;23588.83;422774.01;0
335500;27500;2662;19217.9;234619.11;0
237050;0;0;4475.88;71485.18;0
533500;55000;55000;77480.07;983890.09;0
467500;55000;58000;24793.34;292931.4;0
1947000;66000;72000;7.48;11.51;0
374000;22000;22000;12290.21;196517.28;0
346500;0;0;7746.79;163799.99;0
473000;151800;154800;3365.61;80751.81;0
412500;0;0;25390.79;487158.06;0
704000;33000;36000;54911.14;1081901.22;0
311666;33000;36000;3572.11;76270.7;0
161333;26401;0;6585.26;152063.08;0
280500;11000;0;5330.95;84258.36;0
0;0;0;0;0;0
462000;27500;27500;33587.97;451538.79;0
478500;66000;66000;26323.11;554179.77;0
313868;66000;83250;12271.99;252150.32;0
313500;66000;69000;11058.18;180341.5;0
368500;27500;30500;2097.74;48871.61;0
555500;27500;48419;607.75;16922.01;0
494267;27500;27500;38524.5;640803.1;0
272800;22660;25660;5446.14;73462.14;0
137500;0;0;2767.62;33784.03;0
638000;33000;33000;21901.82;259974.52;0
258500;44000;44000;14776.28;257393.34;0
